year,school,subject,download_url
111,"國立中央大學-網路學習科技研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92558&iDP=69705&iS=3086"
111,"國立中正大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92511&iDP=69816&iS=3086"
111,"國立中正大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92510&iDP=69815&iS=3086"
111,"國立中正大學-資訊管理學系醫療資訊管理碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92508&iDP=69817&iS=3086"
111,"國立中正大學-會計與資訊科技學系碩士班會計組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92507&iDP=70279&iS=3086"
111,"國立中正大學-資訊工程學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92463&iDP=71350&iS=3086"
111,"國立成功大學-數據科學研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92422&iDP=71039&iS=3086"
111,"國立成功大學-會計學研究所乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92400&iDP=69600&iS=3086"
111,"國立成功大學-資訊管理研究所乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92395&iDP=69598&iS=3086"
111,"國立成功大學-資訊管理研究所甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92393&iDP=69597&iS=3086"
111,"國立臺北大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92255&iDP=70200&iS=3086"
111,"國立政治大學-圖書資訊與檔案學研究所圖書資訊學組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=91666&iDP=69290&iS=3086"
111,"國立政治大學-圖書資訊與檔案學研究所檔案學組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=91666&iDP=69291&iS=3086"
111,"國立成功大學-工程科學系碩士班己組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92132&iDP=69695&iS=3086"
111,"國立成功大學-工程科學系碩士班丙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92119&iDP=69692&iS=3086"
111,"國立成功大學-工程科學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92114&iDP=69691&iS=3086"
111,"國立成功大學-生物醫學工程學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92035&iDP=69683&iS=3086"
111,"國立成功大學-製造資訊與系統研究所丙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=91928&iDP=70306&iS=3086"
